Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Classification,Posted Date,Job ID,URL,Exaction Location,District,Area,Min_Salary,Max_Salary
"Senior Officer, Digital Exp. & Analytics",Zurich Insurance (Hong Kong),3,False,Marketing & Communications,2024-07-16 04:00:00,77289684,https://hk.jobsdb.com/job/77289684,Quarry Bay,Eastern,Hong Kong,0,0
Graduate Trainee Program (5 Days Work),Elite Jobs,,False,Banking & Financial Services,2024-07-03 04:00:00,76971132,https://hk.jobsdb.com/job/76971132,,Central and Western,Hong Kong,18000,23000
Actuarial Analyst (Reinsurance),AXA Hong Kong,1,False,Insurance & Superannuation,2024-07-17 04:00:00,77308741,https://hk.jobsdb.com/job/77308741,Wong Chuk Hang,Southern,Hong Kong,0,0
Sales Specialist (Payment Solutions),Eats365 Hong Kong,1,False,Sales,2024-07-12 04:00:00,77219187,https://hk.jobsdb.com/job/77219187,Lai Chi Kok,Sham Shui Po,Kowloon,0,0
ESG Consultant - 2024 Graduate Position,Avista Risk Advisory Limited,,False,Consulting & Strategy,2024-06-28 04:00:00,76862626,https://hk.jobsdb.com/job/76862626,Wan Chai,Wan Chai,Hong Kong,0,0
"Senior Manager, Underwriting at FuSure Reinsurance Company Limited",Jobsdb - SmartHire,8,False,Insurance & Superannuation,2024-07-12 04:00:00,77201015,https://hk.jobsdb.com/job/77201015,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
ECONOMIST,Recruitment Intelligence Consultants Ltd,,False,Banking & Financial Services,2024-07-17 04:00:00,76815263,https://hk.jobsdb.com/job/76815263,Kwun Tong,Kwun Tong,Kowloon,0,0
HR Admin Officer at Yue Xiu Property (HK) Company Limited,Jobsdb - SmartHire,1,False,Administration & Office Support,2024-07-17 04:00:00,76971932,https://hk.jobsdb.com/job/76971932,Fortress Hill,Eastern,Hong Kong,0,0
Research Fellow/Research Associate in Biostatistics (Ref.: 200184),Laboratory of Data Discovery for Health Limited,,False,Education & Training,2024-07-16 04:00:00,77280111,https://hk.jobsdb.com/job/77280111,Science Park,Tai Po,New Territories,0,0
Reinsurance Credit Control Analyst,"Guy Carpenter & Company, Limited",,True,Accounting,2024-07-05 04:00:00,77047486,https://hk.jobsdb.com/job/77047486,Quarry Bay,Eastern,Hong Kong,0,0
System Specialist (POS),Uni-China (Business) Management Limited,5,False,Information & Communication Technology,2024-07-03 04:00:00,76984452,https://hk.jobsdb.com/job/76984452,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
Marketing Analyst,DFI Development (HK) Limited,1,False,Marketing & Communications,2024-06-28 04:00:00,76446420,https://hk.jobsdb.com/job/76446420,Quarry Bay,Eastern,Hong Kong,0,0
