Title,Company,Min. Years of Exp. Required,Fresh Grad,Location,Classification,Salary,Posted Date,Job ID,URL
IT Project Manager (IANG & QMAS Candidates Welcome),Infocan Computer (Hong Kong) Ltd,3,,Kwun Tong District,Information & Communication Technology,,2024-07-17 16:00:00,77348809,https://hk.jobsdb.com/job/77348809
Non-financial Due Diligence Analyst and Investigator - Trainee,Total Credit Management Services Hong Kong Limited,,,"Ngau Tau Kok, Kwun Tong District",Banking & Financial Services,"$15,000 - $18,000 per month",2024-07-15 22:00:00,77287438,https://hk.jobsdb.com/job/77287438
IT Business Analyst,JFE Consulting Limited,,,"Central, Central and Western District",Information & Communication Technology,,2024-07-09 22:00:00,77154937,https://hk.jobsdb.com/job/77154937
"Senior Associate/Associate, Procurement Operations, Technology & Operations",DBS Bank (Hong Kong) Limited,2,True,Kwun Tong District,"Manufacturing, Transport & Logistics",,2024-07-12 22:00:00,77235612,https://hk.jobsdb.com/job/77235612
Senior Business Analyst - Shared Service Application,Maxim's Caterers Limited,3,True,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-12 22:00:00,77245449,https://hk.jobsdb.com/job/77245449
Assurance - Technology Risk - Senior Consultant/Consultant - Hong Kong,EY,,,Hong Kong Island,Information & Communication Technology,,2024-07-17 16:00:00,77348650,https://hk.jobsdb.com/job/77348650
"Business Analyst, Business Planning & Strategy (Leading Logistic/ Supply Chain)",Nesta (Hong Kong) Limited,2,,"Mong Kok, Yau Tsim Mong District","Manufacturing, Transport & Logistics","$30,000 - $32,000 per month",2024-07-12 22:00:00,77252784,https://hk.jobsdb.com/job/77252784
Project Manager (Chemical) at TUV SUD Hong Kong Limited,Jobsdb - SmartHire,4,,Yuen Long District,Engineering,,2024-07-16 22:00:00,76864307,https://hk.jobsdb.com/job/76864307
IT Project Manager – ERP/CRM/CMS (30-40K),Swing Consulting Limited,5,,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,"$30,000 - $40,000 per month",2024-07-17 16:00:00,77348607,https://hk.jobsdb.com/job/77348607
Senior / Systems Analyst,Bangkok Bank Public Co Ltd,5,,"Central, Central and Western District",Information & Communication Technology,,2024-07-17 12:00:00,75705204,https://hk.jobsdb.com/job/75705204
Assistant System Project Manager,The Well Leatherware Mfy Ltd,,,"Mong Kok, Yau Tsim Mong District",Information & Communication Technology,,2024-07-09 22:00:00,77137550,https://hk.jobsdb.com/job/77137550
System Analyst,HKT,2,,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-07-17 18:00:00,77352925,https://hk.jobsdb.com/job/77352925
Assistant Project Manager (IT Projects),OneAsia Network Limited,3,True,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-08 22:00:00,77124625,https://hk.jobsdb.com/job/77124625
IT & Digital Lead HKTW,Reckitt Benckiser Hong Kong Limited,,,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-07-16 22:00:00,77310432,https://hk.jobsdb.com/job/77310432
Business Analyst (MNC / Up to 50K),PERSOLKELLY Hong Kong Limited,3,,"Tsim Sha Tsui, Yau Tsim Mong District",Accounting,"$36,000 - $45,000 per month",2024-07-11 22:00:00,77210348,https://hk.jobsdb.com/job/77210348
"(HK$48-60K+ monthly) Senior Analyst, Researcher, Financial Services",TierONE Consultants,,,"Central, Central and Western District",Information & Communication Technology,"$45,000 - $60,000 per month",2024-07-16 22:00:00,77316476,https://hk.jobsdb.com/job/77316476
IT Project Manager / Assistant Manager / Supervisor,Tachibana Sales (H.K.) Ltd,2,,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-16 22:00:00,76004128,https://hk.jobsdb.com/job/76004128
"Senior Business Analyst (6 months contract, Attractive Salary)",RecruitFirst Limited,5,,Hong Kong Island,Information & Communication Technology,,2024-07-12 22:00:00,77239951,https://hk.jobsdb.com/job/77239951
Business Analyst,AXA Hong Kong,2,,"Wong Chuk Hang, Southern District",Information & Communication Technology,work from home,2024-07-08 22:00:00,77124957,https://hk.jobsdb.com/job/77124957
Analyst,A. R. Medicom Inc. (Asia) Limited,3,,"North Point, Eastern District","Manufacturing, Transport & Logistics",,2024-07-16 22:00:00,77321234,https://hk.jobsdb.com/job/77321234
