Title,Company,Min. Years of Exp. Required,Fresh Grad,Location,Classification,Salary,Posted Date,Job ID,URL
Business Analyst/ Project Manager- Investment- 50-60k,Ambition,6,,Central and Western District,Information & Communication Technology,,2024-07-16 22:00:00,77316875,https://hk.jobsdb.com/job/77316875
System / Business Analyst,Cargo Services Far East Ltd,5,,"Kwai Chung, Kwai Tsing District",Information & Communication Technology,,2024-07-09 22:00:00,77138345,https://hk.jobsdb.com/job/77138345
Business Analyst - Leading Insurance Company,TEKsystems,1,,"Kwun Tong, Kwun Tong District",Information & Communication Technology,"$30,000 - $40,000 per month",2024-07-15 22:00:00,77270448,https://hk.jobsdb.com/job/77270448
Senior Business Analyst (Digital / Mobile Projects),Cherrypicks Limited,3,True,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-16 22:00:00,77305288,https://hk.jobsdb.com/job/77305288
Business Analyst (Finacial Services),Be Myjob Company Limited,5,,Central and Western District,Information & Communication Technology,,2024-07-15 22:00:00,77276623,https://hk.jobsdb.com/job/77276623
(Senior) Business Analyst or Consultant - SAP ERP Finance,Acton Consulting Limited,7,,Hong Kong,Information & Communication Technology,,2024-07-17 20:00:00,77353649,https://hk.jobsdb.com/job/77353649
Business Analyst/Revenue Analyst - MNC,Michael Page International (HK) Ltd,5,,Central and Western District,Accounting,$30k - $40k p.m.,2024-07-16 22:00:00,77321128,https://hk.jobsdb.com/job/77321128
IT Business Analyst / Consultant (Junior),Recur Limited,,,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-07-16 22:00:00,77295061,https://hk.jobsdb.com/job/77295061
"Business Analyst, Business Planning & Strategy (Leading Logistic/ Supply Chain)",Nesta (Hong Kong) Limited,2,,"Mong Kok, Yau Tsim Mong District","Manufacturing, Transport & Logistics","$30,000 - $32,000 per month",2024-07-16 22:00:00,77318800,https://hk.jobsdb.com/job/77318800
System / Business Analyst,Cargo Services Far East Ltd,5,,"Kwai Chung, Kwai Tsing District",Information & Communication Technology,,2024-07-15 22:00:00,77286415,https://hk.jobsdb.com/job/77286415
Business Analyst - Large Scale Conglomerate - Work Life Balance,TEKsystems,1,,"Tai Koo, Eastern District",Information & Communication Technology,"$18,000 - $25,000 per month",2024-07-14 22:00:00,77268893,https://hk.jobsdb.com/job/77268893
Business Analyst - Banking Projects (Five day work weeks),Excel Technology International (Hong Kong) Limited,,,Hong Kong,Banking & Financial Services,,2024-07-16 22:00:00,77295414,https://hk.jobsdb.com/job/77295414
Assistant Project Manager / Project Manager- application,Jobsdb - SmartHire,5,,"Central, Central and Western District",Information & Communication Technology,,2024-07-16 22:00:00,76947124,https://hk.jobsdb.com/job/76947124
Senior Project Executive/ Business Analyst (5 days work),Tech Nine Limited,2,True,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-15 22:00:00,77275689,https://hk.jobsdb.com/job/77275689
Project Finance Analyst at an European Bank in Hong Kong,Jobsdb - SmartHire,3,,"Admiralty, Central and Western District",Accounting,,2024-07-16 22:00:00,77014974,https://hk.jobsdb.com/job/77014974
Data / Business Analyst,MTM Labo Ltd,2,,"Quarry Bay, Eastern District",Marketing & Communications,,2024-07-15 22:00:00,75233593,https://hk.jobsdb.com/job/75233593
Business System Analyst / IT Development Group / (WFH Policy),Yusen Logistics Global Management Limited,5,,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-07-17 19:00:00,76900059,https://hk.jobsdb.com/job/76900059
Business Data Analyst,Datacube Research Centre Limited,2,,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-16 22:00:00,74055325,https://hk.jobsdb.com/job/74055325
Project Executive/ Associate Business Analyst,Million Tech Development Ltd,1,,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-03 22:00:00,77013938,https://hk.jobsdb.com/job/77013938
Business Development Analyst (Real Estate),PURE International (Hong Kong) Ltd,,,"Central, Central and Western District",Banking & Financial Services,,2024-07-17 12:00:00,77339074,https://hk.jobsdb.com/job/77339074
Project Manager (IT Software Development),Jobsdb - SmartHire,1,True,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-16 22:00:00,77034608,https://hk.jobsdb.com/job/77034608
Senior Business Analyst (Digital Platform),TEKsystems,3,,Central and Western District,Information & Communication Technology,,2024-07-15 22:00:00,77293185,https://hk.jobsdb.com/job/77293185
IT Business Analyst,Uni-China (Business) Management Limited,2,,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-03 22:00:00,77016107,https://hk.jobsdb.com/job/77016107
(UP to 50K) Senior Business Analyst / UAT Officer (Banking and Insurance),Seamatch Asia Limited,3,True,"Central, Central and Western District",Information & Communication Technology,,2024-07-16 22:00:00,77304224,https://hk.jobsdb.com/job/77304224
Senior Financial & Business Analyst,International Trading Fashion & Apparel Supply Limited,4,,"Kwai Hing, Kwai Tsing District",Accounting,,2024-07-10 22:00:00,77182363,https://hk.jobsdb.com/job/77182363
Business Analyst - Healthcare IT Solutions,Ewell Hong Kong Limited,3,True,Sha Tin District,Information & Communication Technology,,2024-07-15 22:00:00,75821468,https://hk.jobsdb.com/job/75821468
Business Analyst,SK Hong Kong Limited,2,True,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-02 22:00:00,76983987,https://hk.jobsdb.com/job/76983987
Business Analyst,Nexify Limited,2,,Kwun Tong District,Information & Communication Technology,,2024-07-12 22:00:00,77240271,https://hk.jobsdb.com/job/77240271
Junior Data Analyst (APAC Ecommerce & Retail) - 35K,Techforce Group Limited,3,,"Tsim Sha Tsui, Yau Tsim Mong District",Marketing & Communications,"$25,000 - $35,000 per month",2024-07-17 16:00:00,77347917,https://hk.jobsdb.com/job/77347917
Project Manager at A&A Limited,Jobsdb - SmartHire,3,,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-16 22:00:00,77009879,https://hk.jobsdb.com/job/77009879
Business Analyst,Total Ticketing Limited,,,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-12 22:00:00,77250074,https://hk.jobsdb.com/job/77250074
(Up to 55K-75K) System Analyst/ Analyst Programmer / Business Analyst,Seamatch Asia Limited,2,True,Central and Western District,Information & Communication Technology,"$55,000 - $75,000 per month",2024-07-15 22:00:00,77275191,https://hk.jobsdb.com/job/77275191
Business Planning Analyst at YesStyle.com Limited,Jobsdb - SmartHire,,,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-07-16 22:00:00,76845172,https://hk.jobsdb.com/job/76845172
Business Analyst - Associate - Technology Service Operations,Hong Kong Exchanges & Clearing Ltd,2,,Hong Kong,Information & Communication Technology,,2024-07-15 22:00:00,77295440,https://hk.jobsdb.com/job/77295440
Business Analyst,Shiji Information Technology (Hong Kong) Limited,2,,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-12 22:00:00,77243662,https://hk.jobsdb.com/job/77243662
Business Analyst / Junior Business Analyst (Finance Team),Manulife (International) Limited,,,"Ngau Tau Kok, Kwun Tong District",Insurance & Superannuation,,2024-07-14 22:00:00,77268840,https://hk.jobsdb.com/job/77268840
Quality Assurance(QA) Tester,Chief Group Limited,,,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-15 22:00:00,77276115,https://hk.jobsdb.com/job/77276115
IT Business Analyst - 5-day work,Centaline Securities Limited,2,True,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-12 22:00:00,77252145,https://hk.jobsdb.com/job/77252145
Senior ERP Business Analyst (2-year contract) (Ref: JD/CSBA/04/2024),Citybus Limited,4,True,"Chai Wan, Eastern District",Information & Communication Technology,,2024-07-15 22:00:00,74707307,https://hk.jobsdb.com/job/74707307
Business Analyst (Digital Platform) / Digital Forwarding Team (WFH Policy),Yusen Logistics Global Management Limited,2,,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-07-12 22:00:00,77252169,https://hk.jobsdb.com/job/77252169
Business Intelligence Analyst,Technicon Engineering Ltd,,,"Kwai Fong, Kwai Tsing District",Information & Communication Technology,,2024-07-15 22:00:00,77289773,https://hk.jobsdb.com/job/77289773
"Business Analyst, Application System Team (5 days)",Delken Group Limited,5,True,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-06-27 22:00:00,76864431,https://hk.jobsdb.com/job/76864431
Trade & Supply Chain Application L2 support,Jobsdb - SmartHire,5,,Central and Western District,"Manufacturing, Transport & Logistics",,2024-07-16 22:00:00,77017368,https://hk.jobsdb.com/job/77017368
Top Tier Insurance - Senior Business Analyst - Up to $45k,Gravitas Recruitment Group (Hong Kong) Limited,3,,Central and Western District,Information & Communication Technology,$35k - $45k p.a.,2024-07-15 22:00:00,77279031,https://hk.jobsdb.com/job/77279031
Business Analyst - Insurance - Data Hub Project - WFH,TEKsystems,3,,"Hung Hom, Kowloon City District",Information & Communication Technology,"$36,000 - $46,000 per month",2024-07-14 22:00:00,77267242,https://hk.jobsdb.com/job/77267242
Business Analyst - Cargo Distribution (5-Day Work),Global Logistics System (HK) Co Ltd,,,"Airport Area, Islands District",Information & Communication Technology,,2024-07-12 22:00:00,77240423,https://hk.jobsdb.com/job/77240423
Business Analyst (Ref: JDB/HRM/BA),Computer And Technologies Resources Limited,3,,"Wong Chuk Hang, Southern District",Information & Communication Technology,,2024-07-15 22:00:00,77284940,https://hk.jobsdb.com/job/77284940
Senior Solution Analyst,NTT DATA Hong Kong Limited,2,,"Tai Koo, Eastern District",Information & Communication Technology,,2024-07-16 22:00:00,77321614,https://hk.jobsdb.com/job/77321614
Senior Business Analyst / Business Analyst,Chinachem Group,3,,Tsuen Wan District,Marketing & Communications,,2024-07-13 22:00:00,76586784,https://hk.jobsdb.com/job/76586784
Business Analyst,HGC Global Communications Limited,5,,"Tsing Yi, Kwai Tsing District",Information & Communication Technology,,2024-07-12 22:00:00,76434235,https://hk.jobsdb.com/job/76434235
Business Analyst,ParaDM Company Limited,2,,Kwun Tong District,Information & Communication Technology,,2024-07-11 22:00:00,75548439,https://hk.jobsdb.com/job/75548439
Junior Analyst -- Talents and Organizations,KEEN CITY HOLDINGS LIMITED,1,,"Quarry Bay, Eastern District",Human Resources & Recruitment,,2024-07-17 11:00:00,77338080,https://hk.jobsdb.com/job/77338080
Project Manager (Hotel Opening Project) at Optimum Solutions (Hong Kong) Limited,Jobsdb - SmartHire,8,,"Central, Central and Western District",Information & Communication Technology,,2024-07-16 22:00:00,76944418,https://hk.jobsdb.com/job/76944418
Actuarial Analyst - HSBC Life,HSBC,,,Central and Western District,Insurance & Superannuation,,2024-07-15 22:00:00,77282361,https://hk.jobsdb.com/job/77282361
(Junior & Senior) Business Analyst - Leading Insurance MNC - WFH,TEKsystems,1,,"Kwun Tong, Kwun Tong District",Information & Communication Technology,"$30,000 - $45,000 per month",2024-07-14 22:00:00,77267261,https://hk.jobsdb.com/job/77267261
"Business Analyst, Life Business Solutions",Zurich Insurance (Hong Kong),3,,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-11 22:00:00,77218698,https://hk.jobsdb.com/job/77218698
Business Analyst / Data Analyst,Purapharm International (H.K.) Limited,2,,Tai Po District,Information & Communication Technology,,2024-07-05 22:00:00,77066558,https://hk.jobsdb.com/job/77066558
Senior Business Analyst - GenAI Projects - Telecommunications,TEKsystems,5,,"Quarry Bay, Eastern District",Information & Communication Technology,"$38,000 - $50,000 per month",2024-07-14 22:00:00,77267253,https://hk.jobsdb.com/job/77267253
Product Officer/Business Analyst -IT Strategist - Conglomerate,Robert Walters (HK) Ltd,3,,Central and Western District,Information & Communication Technology,35000 - 45000,2024-07-11 22:00:00,77205667,https://hk.jobsdb.com/job/77205667
"QA tester (Manual, 6-9 month Contract, 35 - 45K, MNC IT solution firm)",Recruit Logic Limited,,,"Sha Tin, Sha Tin District",Information & Communication Technology,"$35,000 - $45,000 per month",2024-07-15 22:00:00,77280535,https://hk.jobsdb.com/job/77280535
Business Analyst,Integrated Corporation,,,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-10 22:00:00,77179592,https://hk.jobsdb.com/job/77179592
"Section Head, Business Analysis (Business System)",Bank of Communications Hong Kong Branch,8,,Hong Kong,Information & Communication Technology,,2024-07-15 22:00:00,77277115,https://hk.jobsdb.com/job/77277115
"Insurance Business Analyst (AM/M, User Side - Policy Administration)",Cornerstone Global Partners,,,Hong Kong Island,Information & Communication Technology,"$40,000 - $60,000 per month",2024-07-04 22:00:00,77040638,https://hk.jobsdb.com/job/77040638
