Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
Data Centre Operator (Overnight shift is required) Tsuen Wan,Concord Information Technology International Ltd,1,True,Tsuen Wan District,Information & Communication Technology,"$18,000 - $23,000 per month",2024-07-03 04:00:00,76987368,https://hk.jobsdb.com/job/76987368
"Treasury Analyst (≤25k x 13 months, market leading MNC, attractive benefits)",HR Plus (Talent) Limited,1,False,"Kowloon Bay, Kwun Tong District",Accounting,"$18,000 - $25,000 per month",2024-07-17 04:00:00,77310041,https://hk.jobsdb.com/job/77310041
Research Assistant (Project),Hong Kong Chu Hai College Limited,,False,Tuen Mun District,Education & Training,,2024-07-17 17:00:00,76685454,https://hk.jobsdb.com/job/76685454
Consultant recruitment Manager,水滴金融服务香港有限公司,,False,"Tsim Sha Tsui, Yau Tsim Mong District",Banking & Financial Services,"$40,000 - $50,000 per month",2024-07-13 04:00:00,77246954,https://hk.jobsdb.com/job/77246954
Data Entry Clerk,OHLA! Luxury,,False,"Tsim Sha Tsui, Yau Tsim Mong District",Administration & Office Support,,2024-07-07 04:00:00,77092671,https://hk.jobsdb.com/job/77092671
"Implementation Consultant (SaaS Cloud Application, Power BI)",Michael Page International (HK) Ltd,,False,Central and Western District,Information & Communication Technology,*12 + b,2024-07-16 04:00:00,77297748,https://hk.jobsdb.com/job/77297748
"股票分析師 - 美股, 港股",Gemini Personnel Limited,,False,"Central, Central and Western District",Banking & Financial Services,,2024-07-17 18:00:00,77351281,https://hk.jobsdb.com/job/77351281
Tax Officer,HG Innovation Limited,1,False,"Hung Hom, Kowloon City District",Accounting,,2024-07-09 04:00:00,77116108,https://hk.jobsdb.com/job/77116108
"Senior Consultant / Consultant (SAP), Technology & Management Consulting",RSM Hong Kong 羅申美會計師事務所,2,False,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-07-10 04:00:00,77154999,https://hk.jobsdb.com/job/77154999
Research Assistant/ Research Fellow (Project),Hong Kong Chu Hai College Limited,5,False,Tuen Mun District,Education & Training,,2024-07-17 17:00:00,76685739,https://hk.jobsdb.com/job/76685739
Associate - Property Data Center Facilities - Corporate Services (R001724),Hong Kong Exchanges & Clearing Ltd,5,True,Hong Kong,Banking & Financial Services,,2024-07-17 13:00:00,77342039,https://hk.jobsdb.com/job/77342039
Customer Care Consultant,Hypebeast Hong Kong Limited,,False,Tsuen Wan District,Call Centre & Customer Service,,2024-07-06 04:00:00,77063119,https://hk.jobsdb.com/job/77063119
Finance Officer (5-day work),Wise Ally Holdings Limited,3,False,"Kowloon Bay, Kwun Tong District",Accounting,,2024-07-04 04:00:00,77014596,https://hk.jobsdb.com/job/77014596
"Business Analyst, Life Business Solutions",Zurich Insurance (Hong Kong),3,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-12 04:00:00,77218698,https://hk.jobsdb.com/job/77218698
Full-time/Part-time Research Assistant I/II in the School of Nursing,The University of Hong Kong,,False,"Pok Fu Lam, Southern District",Healthcare & Medical,,2024-07-17 04:00:00,77303648,https://hk.jobsdb.com/job/77303648
Senior Customer Intelligence Specialist (Permanent/ 2-Year Contract),CLP Power Hong Kong Limited 中華電力有限公司,5,False,"Sham Shui Po, Sham Shui Po District",Consulting & Strategy,,2024-07-16 04:00:00,77273829,https://hk.jobsdb.com/job/77273829
"Senior Analyst, CDD Operations - Mox (4450)",Standard Chartered Bank,2,False,"Quarry Bay, Eastern District",Banking & Financial Services,,2024-07-03 04:00:00,76983978,https://hk.jobsdb.com/job/76983978
Junior Data Engineer | 40-45k,Techforce Group Limited,2,False,"Causeway Bay, Wan Chai District",Information & Communication Technology,"$40,000 - $45,000 per month",2024-07-10 04:00:00,77152565,https://hk.jobsdb.com/job/77152565
Data Engineer,Michael Page International (HK) Ltd,,False,Islands District,Information & Communication Technology,$41k - $54k p.m. + discretionary bonus,2024-07-11 04:00:00,77187607,https://hk.jobsdb.com/job/77187607
Wealth Strategist /Wealth Management Trainee /Internship (畢業生優先 /無相關經驗要求),AIA International Limited,,False,"Causeway Bay, Wan Chai District",Banking & Financial Services,"$59,999 - $89,999 per month",2024-07-10 04:00:00,77154748,https://hk.jobsdb.com/job/77154748
Digital Growth Specialist (Online business - Marketing),AS Watson Retail (HK) Limited,,True,"Hung Hom, Kowloon City District",Marketing & Communications,,2024-07-11 04:00:00,77180531,https://hk.jobsdb.com/job/77180531
Data Analyst - Supply Chain,AS Watson Retail (HK) Limited,3,True,"Whampoa Garden, Kowloon City District","Manufacturing, Transport & Logistics",,2024-06-25 04:00:00,76779686,https://hk.jobsdb.com/job/76779686
Social Media Executive (Market Research) Fresh graduates are welcome,Datametas Limited,,False,"Ngau Tau Kok, Kwun Tong District",Marketing & Communications,,2024-07-03 04:00:00,76983583,https://hk.jobsdb.com/job/76983583
SENIOR RESEARCH ANALYST,**Private,5,False,Kowloon,Banking & Financial Services,,2024-07-13 04:00:00,77253258,https://hk.jobsdb.com/job/77253258
Greater China Family Financial Specialist,Antnergy Social Resources,,False,Hong Kong Island,Banking & Financial Services,"$20,000 - $30,000 per month",2024-07-09 04:00:00,77112596,https://hk.jobsdb.com/job/77112596
"Data Engineer/Analyst (Azure, AI, 3yrs+)",Robert Walters (HK) Ltd,2,False,Central and Western District,Information & Communication Technology,$35k - $50k p.m.,2024-07-02 04:00:00,76944909,https://hk.jobsdb.com/job/76944909
Sales & Marketing Head,E-Commerce Logistics Ltd,,False,"Sheung Wan, Central and Western District",Marketing & Communications,,2024-07-12 04:00:00,77199150,https://hk.jobsdb.com/job/77199150
Project Specialist (at the rank of Post-doctoral Fellow) (Ref.: 200139),Laboratory of Data Discovery for Health Limited,,False,"Science Park, Tai Po District",Healthcare & Medical,,2024-07-16 04:00:00,77280537,https://hk.jobsdb.com/job/77280537
"Engineer, Backend - Mox",Standard Chartered Bank,,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-03 04:00:00,76978777,https://hk.jobsdb.com/job/76978777
"AM, Business Analysis (MNC Healthcare / Tableau)",iTalent Company,5,False,"Quarry Bay, Eastern District",Sales,,2024-06-29 04:00:00,76907674,https://hk.jobsdb.com/job/76907674
"Senior Digital Marketing Executive, Beauty Exhibitions",Informa Markets Asia Limited,5,False,"Wan Chai, Wan Chai District",Marketing & Communications,,2024-07-04 04:00:00,77019121,https://hk.jobsdb.com/job/77019121
"Senior Officer, Digital Exp. & Analytics",Zurich Insurance (Hong Kong),3,False,"Quarry Bay, Eastern District",Marketing & Communications,,2024-07-16 04:00:00,77289684,https://hk.jobsdb.com/job/77289684
Graduate Trainee Program (5 Days Work),Elite Jobs,,False,Central and Western District,Banking & Financial Services,"$18,000 - $23,000 per month",2024-07-03 04:00:00,76971132,https://hk.jobsdb.com/job/76971132
Actuarial Analyst (Reinsurance),AXA Hong Kong,1,False,"Wong Chuk Hang, Southern District",Insurance & Superannuation,,2024-07-17 04:00:00,77308741,https://hk.jobsdb.com/job/77308741
Sales Specialist (Payment Solutions),Eats365 Hong Kong,1,False,"Lai Chi Kok, Sham Shui Po District",Sales,,2024-07-12 04:00:00,77219187,https://hk.jobsdb.com/job/77219187
ESG Consultant - 2024 Graduate Position,Avista Risk Advisory Limited,,False,"Wan Chai, Wan Chai District",Consulting & Strategy,,2024-06-28 04:00:00,76862626,https://hk.jobsdb.com/job/76862626
"Senior Manager, Underwriting at FuSure Reinsurance Company Limited",Jobsdb - SmartHire,8,False,"Tsim Sha Tsui, Yau Tsim Mong District",Insurance & Superannuation,,2024-07-12 04:00:00,77201015,https://hk.jobsdb.com/job/77201015
ECONOMIST,Recruitment Intelligence Consultants Ltd,,False,"Kwun Tong, Kwun Tong District",Banking & Financial Services,,2024-07-17 04:00:00,76815263,https://hk.jobsdb.com/job/76815263
HR Admin Officer at Yue Xiu Property (HK) Company Limited,Jobsdb - SmartHire,1,False,"Fortress Hill, Eastern District",Administration & Office Support,,2024-07-17 04:00:00,76971932,https://hk.jobsdb.com/job/76971932
Research Fellow/Research Associate in Biostatistics (Ref.: 200184),Laboratory of Data Discovery for Health Limited,,False,"Science Park, Tai Po District",Education & Training,,2024-07-16 04:00:00,77280111,https://hk.jobsdb.com/job/77280111
Reinsurance Credit Control Analyst,"Guy Carpenter & Company, Limited",,True,"Quarry Bay, Eastern District",Accounting,,2024-07-05 04:00:00,77047486,https://hk.jobsdb.com/job/77047486
System Specialist (POS),Uni-China (Business) Management Limited,5,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-03 04:00:00,76984452,https://hk.jobsdb.com/job/76984452
Marketing Analyst,DFI Development (HK) Limited,1,False,"Quarry Bay, Eastern District",Marketing & Communications,,2024-06-28 04:00:00,76446420,https://hk.jobsdb.com/job/76446420
