Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
Surveyor,China Harbour Engineering Co Ltd,7,True,Hong Kong,Construction,,2024-07-05 06:00:00,77043527,https://hk.jobsdb.com/job/77043527
BIM Coordinator,Smart Construction Laboratory Limited,,False,"Science Park, Tai Po District",Construction,"$30,000 - $45,000 per month",2024-07-17 12:00:00,77315982,https://hk.jobsdb.com/job/77315982
Senior / Principal Consultant – Environmental (Air Quality),WSP (Asia) Limited,,False,"Kowloon Bay, Kwun Tong District",Science & Technology,,2024-07-10 06:00:00,77142983,https://hk.jobsdb.com/job/77142983
Research Assistant/ Research Fellow (Project),Hong Kong Chu Hai College Limited,5,False,Tuen Mun District,Education & Training,,2024-07-17 17:00:00,76685739,https://hk.jobsdb.com/job/76685739
Resident Engineer (Geotechnical),WSP (Asia) Limited,5,False,"Kowloon Bay, Kwun Tong District",Engineering,,2024-07-17 06:00:00,77319491,https://hk.jobsdb.com/job/77319491
Surveyor/ Assistant Surveyor,Far East Landfill Technologies Limited,4,True,North District,Construction,,2024-07-03 06:00:00,76982854,https://hk.jobsdb.com/job/76982854
Senior Surveyor,China Road and Bridge Corporation - HeadOffice,8,False,New Territories,Construction,,2024-07-10 06:00:00,77145209,https://hk.jobsdb.com/job/77145209
Geotechnical Engineer,Chun Wo Construction Holdings Company Limited,5,False,"Yau Tong, Kwun Tong District",Engineering,,2024-07-16 06:00:00,77284843,https://hk.jobsdb.com/job/77284843
Research Assistant (Project),Hong Kong Chu Hai College Limited,,False,Tuen Mun District,Education & Training,,2024-07-17 17:00:00,76685454,https://hk.jobsdb.com/job/76685454
Analyst Programmer - HRMS,Swire Properties Limited 太古地產有限公司,2,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-17 12:00:00,76231315,https://hk.jobsdb.com/job/76231315
BIM Engineer (Ref: SP/BIMENG),ATAL Engineering Ltd,3,False,Hong Kong,Engineering,,2024-07-11 06:00:00,77033847,https://hk.jobsdb.com/job/77033847
"Civil Technical Officer, Fresh Grad Welcome",Solomon HR Solution Limited,,False,"Ho Man Tin, Kowloon City District",Engineering,"$20,000 - $24,000 per month",2024-07-16 06:00:00,77289218,https://hk.jobsdb.com/job/77289218
Senior / Environmental Officer,China State Construction Engineering (Hong Kong) Limited,3,False,Hong Kong,Engineering,,2024-07-10 06:00:00,77140343,https://hk.jobsdb.com/job/77140343
Senior Engineer (Geotechnical/Civil Engineering),Aurecon Hong Kong Limited,6,False,"Kwun Tong, Kwun Tong District",Engineering,,2024-07-15 06:00:00,77270648,https://hk.jobsdb.com/job/77270648
PROJECT COORDINATOR – ARCHITECTURAL / BUILDING,Sun Hung Kai Properties Ltd,5,False,"Wan Chai, Wan Chai District",Construction,,2024-07-12 06:00:00,77218211,https://hk.jobsdb.com/job/77218211
Land Surveyor-Infrastructure Maintenance Team (Land Survey) (Ref: 2400007N),MTR Corporation Limited,4,False,"Fo Tan, Sha Tin District",Construction,,2024-06-29 06:00:00,76905942,https://hk.jobsdb.com/job/76905942
Assistant Mobility Innovation Officer (Ref: HJD/AMIO/04/2024),Citybus Limited,,True,"Chai Wan, Eastern District",Information & Communication Technology,,2024-07-17 06:00:00,77314945,https://hk.jobsdb.com/job/77314945
Town Planner,Urbis Limited,,False,"Wan Chai, Wan Chai District",Design & Architecture,,2024-07-11 06:00:00,77181819,https://hk.jobsdb.com/job/77181819
Project Secretary,Geosys Hong Kong Limited,,False,"Tai Po, Tai Po District",Administration & Office Support,,2024-07-11 06:00:00,77182792,https://hk.jobsdb.com/job/77182792
Senior Environmental Consultant,Flow State Recruitment Limited,7,False,Hong Kong,Science & Technology,,2024-07-09 06:00:00,77107861,https://hk.jobsdb.com/job/77107861
Environmental Supervisor (ES),China Road and Bridge Corporation - HeadOffice,1,True,"Kowloon Tong, Kowloon City District",Construction,,2024-07-10 06:00:00,77139335,https://hk.jobsdb.com/job/77139335
System Analyst,Esri China (Hong Kong) Ltd,5,False,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-06-26 06:00:00,76811400,https://hk.jobsdb.com/job/76811400
Senior Software Engineer / Software Engineer( Backend ),Winley Technology Limited,2,False,Sha Tin District,Information & Communication Technology,,2024-07-14 06:00:00,77263200,https://hk.jobsdb.com/job/77263200
Junior Land Surveyor I-Infrastructure Maintenance Team (Land Survey) (Ref: 24000,MTR Corporation Limited,6,False,"Fo Tan, Sha Tin District",Construction,,2024-06-29 06:00:00,76907315,https://hk.jobsdb.com/job/76907315
Geotechnical Engineering,Aurecon Hong Kong Limited,3,True,"Kwun Tong, Kwun Tong District",Engineering,,2024-07-09 06:00:00,77118707,https://hk.jobsdb.com/job/77118707
Assistant Land Surveyor-Infrastructure Maintenance Team (Land Survey) (Ref: 2400,MTR Corporation Limited,8,False,"Fo Tan, Sha Tin District",Construction,,2024-06-29 06:00:00,76907080,https://hk.jobsdb.com/job/76907080
Digital Transformation Lead,Gammon Construction Ltd,5,False,"Kwun Tong, Kwun Tong District",Engineering,,2024-07-11 06:00:00,77170712,https://hk.jobsdb.com/job/77170712
BIM Position: BIM Manager / BIM Coordinator,Integrated Design Limited,5,False,Wan Chai District,Design & Architecture,,2024-07-13 06:00:00,77235418,https://hk.jobsdb.com/job/77235418
Junior Land Surveyor II-Infrastructure Maintenance Team (Land Survey) (Ref: 2400,MTR Corporation Limited,5,False,"Fo Tan, Sha Tin District",Construction,,2024-06-29 06:00:00,76907649,https://hk.jobsdb.com/job/76907649
Assistant Maintenance Surveyor (Ref No.: 891985/AT/2024),Sun Fook Kong Construction Management Limited,,False,Hong Kong,Engineering,,2024-07-12 06:00:00,77197790,https://hk.jobsdb.com/job/77197790
Resident Senior Survey Officer (Engineering) (RSSO (E)) 駐地盤高級測量主任 (工程),Leigh & Orange Limited,7,False,Yau Tsim Mong District,Engineering,,2024-07-13 06:00:00,77240644,https://hk.jobsdb.com/job/77240644
ICT Solution Manager,"HMN International Smart Co., Limited",,False,"Kowloon City, Kowloon City District",Information & Communication Technology,"$25,000 - $35,000 per month",2024-07-14 06:00:00,76080851,https://hk.jobsdb.com/job/76080851
"Landscape Designer, Urbanism + Planning (Hong Kong Project)",Aecom Asia Company Limited,0,False,Sha Tin District,Design & Architecture,,2024-07-17 06:00:00,77314090,https://hk.jobsdb.com/job/77314090
BIM Engineer / Coordinator,Forida Limited,2,False,"Lai Chi Kok, Sham Shui Po District",Engineering,,2024-06-29 06:00:00,76908637,https://hk.jobsdb.com/job/76908637
IT Analyst (Application Development),Hong Kong Air Cargo Terminals Ltd,3,False,"Airport Area, Islands District",Information & Communication Technology,,2024-07-13 06:00:00,74479152,https://hk.jobsdb.com/job/74479152
Computational Scientist / Senior Computational Scientist (ES-OPER),Clustertech Limited,,False,Sha Tin District,Science & Technology,,2024-07-04 06:00:00,77018564,https://hk.jobsdb.com/job/77018564
Project Surveyor,SGS Hong Kong Limited,2,False,Yuen Long District,Construction,,2024-07-03 06:00:00,76982492,https://hk.jobsdb.com/job/76982492
Management Trainee (International Leadership Track),Fugro (Hong Kong) Limited,2,False,"Kwai Hing, Kwai Tsing District",CEO & General Management,,2024-07-17 06:00:00,76792147,https://hk.jobsdb.com/job/76792147
System Analyst,TAL Apparel Limited,4,False,Yau Tsim Mong District,Information & Communication Technology,,2024-07-12 06:00:00,77218916,https://hk.jobsdb.com/job/77218916
Land Surveyor,Ming Hing Waterworks Engineering Co Ltd,5,True,"Kowloon Bay, Kwun Tong District",Engineering,,2024-06-26 06:00:00,76820269,https://hk.jobsdb.com/job/76820269
"Assistant Digital Engineer, Back End",Hip Hing Construction Co Ltd,,False,Hong Kong,Information & Communication Technology,,2024-07-09 06:00:00,77111441,https://hk.jobsdb.com/job/77111441
Consultant / Assistant Consultant - Environmental Assessment,Allied Environmental Consultants Limited,2,False,Wan Chai District,Science & Technology,,2024-07-03 06:00:00,76987643,https://hk.jobsdb.com/job/76987643
T3 Supervisor,Fugro (Hong Kong) Limited,5,False,"Kwai Hing, Kwai Tsing District",Construction,,2024-07-11 06:00:00,75502588,https://hk.jobsdb.com/job/75502588
