Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
IT Business Analyst,YesStyle.com Limited,3,False,Kwai Tsing District,Information & Communication Technology,,2024-07-05 06:00:00,76703236,https://hk.jobsdb.com/job/76703236
"Manager / Assistant Manager, Business Intelligence and Analytics",K11 Concepts Limited,5,True,"Tsim Sha Tsui, Yau Tsim Mong District",Real Estate & Property,,2024-07-16 06:00:00,76678199,https://hk.jobsdb.com/job/76678199
"Senior Consultant / Consultant (SAP), Technology & Management Consulting",RSM Hong Kong 羅申美會計師事務所,2,False,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-07-10 06:00:00,77154999,https://hk.jobsdb.com/job/77154999
Project Manager (Bank Branches Renovation),OCBC Bank (Hong Kong) Limited,5,False,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-10 06:00:00,77152080,https://hk.jobsdb.com/job/77152080
AI Strategy Analyst,"TCL Corporate Research (Hong Kong) Co., Limited",3,False,Sha Tin District,Consulting & Strategy,,2024-07-09 06:00:00,77108894,https://hk.jobsdb.com/job/77108894
Actuarial Analyst - HSBC Life,HSBC,,False,Central and Western District,Insurance & Superannuation,,2024-07-09 06:00:00,77124644,https://hk.jobsdb.com/job/77124644
"Analyst, OTC – Fixed Income, Business Operations",BOC International Holdings Ltd,1,False,"Sheung Wan, Central and Western District",Banking & Financial Services,,2024-07-13 06:00:00,77236390,https://hk.jobsdb.com/job/77236390
System Analyst (Ref: JDB/DS/SA),Computer And Technologies Solutions Limited,3,False,"Wong Chuk Hang, Southern District",Information & Communication Technology,,2024-07-17 06:00:00,77309745,https://hk.jobsdb.com/job/77309745
Assistant Operations Officer-Facilities Department,Kadoorie Farm & Botanic Garden Corporation,3,False,"Tai Po, Tai Po District",Administration & Office Support,,2024-07-17 10:00:00,77335283,https://hk.jobsdb.com/job/77335283
Assistant Manager / Analyst (Long Term Business),Insurance Authority,3,False,Southern District,Insurance & Superannuation,,2024-06-28 06:00:00,76858889,https://hk.jobsdb.com/job/76858889
"Finance Data Officer (Banking, up to 20K)",PERSOLKELLY Hong Kong Limited,1,False,Central and Western District,Banking & Financial Services,,2024-07-17 17:00:00,77349544,https://hk.jobsdb.com/job/77349544
Officer/ Assistant Officer (Finance Analyst),Dah Chong Hong Motors International Holdings Limited,1,False,"Kowloon Bay, Kwun Tong District",Accounting,,2024-07-03 06:00:00,76984361,https://hk.jobsdb.com/job/76984361
IT Project Executive / Business Analyst / QA ( Manual / Auto ) ( Global...,Osmium Consulting Group Limited,7,True,Central and Western District,Information & Communication Technology,"$23,000 - $34,000 per month",2024-07-11 06:00:00,77173155,https://hk.jobsdb.com/job/77173155
Project Manager,Continuous Technologies International Ltd,,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-09 06:00:00,77110287,https://hk.jobsdb.com/job/77110287
Project Manager/ Assistant Project Manager (ERP / SAP FICO),Emperor Watch & Jewellery (HK) Company Limited,1,False,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-07-17 06:00:00,77304375,https://hk.jobsdb.com/job/77304375
Junior Business Analyst - Insurance,**Private,,False,Kowloon City District,Information & Communication Technology,,2024-07-10 06:00:00,77157945,https://hk.jobsdb.com/job/77157945
ESG - Analyst/Senior Analyst/Assistant Manager,PAL ADVISORY LIMITED,1,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-17 06:00:00,77319179,https://hk.jobsdb.com/job/77319179
Business Analyst (BI),DCH Business Innovations,2,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-10 06:00:00,77140700,https://hk.jobsdb.com/job/77140700
Digital Business Manager - eCommerce IT Projects,Uni-China (Business) Management Limited,5,True,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-17 06:00:00,77306949,https://hk.jobsdb.com/job/77306949
Business Development/Operations Specialist - Fin-tech & Financial Services,Up Way China Bullion Limited,2,False,Tsuen Wan District,Banking & Financial Services,,2024-07-17 06:00:00,77313204,https://hk.jobsdb.com/job/77313204
"Business Analyst (Data Management, Risk)",Robert Walters (HK) Ltd,2,False,Central and Western District,Information & Communication Technology,$25k - $40k p.m.,2024-07-10 06:00:00,77155086,https://hk.jobsdb.com/job/77155086
LINK’s Management Associate Programme 2024,Link Asset Management Limited,2,False,"Kowloon Bay, Kwun Tong District",Real Estate & Property,,2024-07-16 06:00:00,77275223,https://hk.jobsdb.com/job/77275223
"Manager, Property Management (Grade A Commercial Portfolio)",Hysan Development Co Ltd,5,False,"Causeway Bay, Wan Chai District",Real Estate & Property,,2024-07-13 06:00:00,77251687,https://hk.jobsdb.com/job/77251687
Business Analyst,Mattex Asia Development Limited,2,False,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-04 06:00:00,77016605,https://hk.jobsdb.com/job/77016605
E-Commerce Officer,Pan Lloyds Publishers Limited,3,True,Tsuen Wan District,Marketing & Communications,,2024-07-12 06:00:00,77210930,https://hk.jobsdb.com/job/77210930
Principal Business Analyst,HKR International Ltd,3,False,Tsuen Wan District,Information & Communication Technology,,2024-07-10 06:00:00,77136402,https://hk.jobsdb.com/job/77136402
Japanese Speaking Market Analyst (SDG-106973),RGF HR Agent Hong Kong Limited,3,False,Hong Kong Island,Marketing & Communications,"$30,000 - $35,000 per month",2024-07-09 06:00:00,77111745,https://hk.jobsdb.com/job/77111745
"VP, Lead IT Business Analyst/PM (Loan/Deposit)",Ambition,8,True,Central and Western District,Information & Communication Technology,$70k - $90k p.m.,2024-07-11 06:00:00,77178556,https://hk.jobsdb.com/job/77178556
"Treasury Analyst (≤25k x 13 months, market leading MNC, attractive benefits)",HR Plus (Talent) Limited,1,False,"Kowloon Bay, Kwun Tong District",Accounting,"$18,000 - $25,000 per month",2024-07-17 06:00:00,77310041,https://hk.jobsdb.com/job/77310041
(UP to 50K) Senior Business Analyst / UAT Officer (Banking and Insurance),Seamatch Asia Limited,3,True,"Central, Central and Western District",Information & Communication Technology,,2024-07-11 06:00:00,77167878,https://hk.jobsdb.com/job/77167878
HRIS Senior Specialist (SAP HCM and SuccessFactors),Michael Page International (HK) Ltd,3,False,Central and Western District,Information & Communication Technology,*13+b,2024-07-16 06:00:00,77284009,https://hk.jobsdb.com/job/77284009
IT Business Analyst,JFE Consulting Limited,,False,Hong Kong,Information & Communication Technology,,2024-07-04 06:00:00,77015825,https://hk.jobsdb.com/job/77015825
Application Support (Kwun Tong),Kintetsu World Express (HK) Limited,2,False,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-13 06:00:00,77247028,https://hk.jobsdb.com/job/77247028
Regional Sales Engineer - Greater China & Korea,Thales Solutions and Services Hong Kong Limited,,False,"Mong Kok, Yau Tsim Mong District",Information & Communication Technology,,2024-07-16 06:00:00,77278184,https://hk.jobsdb.com/job/77278184
Assistant Project Manager (Front-End),Octopus Holdings Limited,6,True,Hong Kong Island,Information & Communication Technology,,2024-07-17 08:00:00,77333246,https://hk.jobsdb.com/job/77333246
Senior Finance Analyst,Techtonic Consulting Limited,3,False,"Sai Ying Pun, Central and Western District",Accounting,,2024-07-17 06:00:00,77322579,https://hk.jobsdb.com/job/77322579
General Banking Manager at Hang Seng Bank Ltd,Jobsdb - SmartHire,1,False,"Mong Kok, Yau Tsim Mong District",Banking & Financial Services,,2024-07-17 06:00:00,77107779,https://hk.jobsdb.com/job/77107779
IT Project Manager - Software Development [ Perm Job Kowloon Bay],Conners Consulting Limited,5,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-17 18:00:00,77352785,https://hk.jobsdb.com/job/77352785
Consulting- Technology Strategy & Transformation - Technology & Integration Lead,EY,1,True,Hong Kong Island,Consulting & Strategy,,2024-07-13 06:00:00,77252248,https://hk.jobsdb.com/job/77252248
Business Analyst (Securities),Hays Hong Kong Limited,1,True,Central and Western District,Information & Communication Technology,,2024-07-04 06:00:00,77018395,https://hk.jobsdb.com/job/77018395
Regional Project Manager – Insurance Policy Administration System Migration,JNL Consulting Limited,,False,Central and Western District,Information & Communication Technology,,2024-07-17 15:00:00,77347698,https://hk.jobsdb.com/job/77347698
System Analyst,Solution Expert Technology Limited,,False,"Kwai Hing, Kwai Tsing District",Information & Communication Technology,,2024-07-17 06:00:00,77305164,https://hk.jobsdb.com/job/77305164
Assistant Operation Manager (Data Center),ASK IT LIMITED,5,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,"$40,000 per month",2024-07-17 06:00:00,77308844,https://hk.jobsdb.com/job/77308844
Assistant Project Manager at Kin Wing Engineering Company Limited,Jobsdb - SmartHire,8,False,"Lai Chi Kok, Sham Shui Po District",Construction,,2024-07-17 06:00:00,77117893,https://hk.jobsdb.com/job/77117893
Operations Analyst,XJCP Limited,1,False,"Causeway Bay, Wan Chai District",Banking & Financial Services,,2024-07-17 06:00:00,77316105,https://hk.jobsdb.com/job/77316105
Project Manager / Assistant Project Manager (RPA development),Bank of China (Hong Kong) Limited,3,False,Yau Tsim Mong District,Information & Communication Technology,,2024-07-14 06:00:00,77262266,https://hk.jobsdb.com/job/77262266
IT PRACTICE LEAD,Cathay Pacific Airways Ltd,5,True,"Tung Chung, Islands District",Information & Communication Technology,,2024-07-17 10:00:00,77334946,https://hk.jobsdb.com/job/77334946
Business Analyst / Senior Business Analyst,Automated Systems (HK) Ltd,2,False,Hong Kong,Information & Communication Technology,,2024-07-04 06:00:00,73528485,https://hk.jobsdb.com/job/73528485
APS Global Prime Finance Incident Manager,Jobsdb - SmartHire,5,False,"Central, Central and Western District",Information & Communication Technology,,2024-07-17 06:00:00,76948665,https://hk.jobsdb.com/job/76948665
Financial Analyst (Property),Wheelock Properties (Hong Kong) Limited 會德豐地產 (香港) 有限公司,6,False,Southern District,Banking & Financial Services,,2024-07-17 06:00:00,77309497,https://hk.jobsdb.com/job/77309497
Business Development,北京三快在線科技有限公司,,True,Sham Shui Po District,Sales,"$20,000 - $30,000 per month",2024-07-13 06:00:00,77248587,https://hk.jobsdb.com/job/77248587
Assistant / Project Manager - Digital,Ever Star Consultants Limited,2,False,Kowloon,Information & Communication Technology,,2024-07-15 06:00:00,77270343,https://hk.jobsdb.com/job/77270343
"Senior Manager, Property Management (Hysan Place)",Hysan Development Co Ltd,8,False,"Causeway Bay, Wan Chai District",Real Estate & Property,,2024-07-13 06:00:00,77239900,https://hk.jobsdb.com/job/77239900
Transformation and Technology Specialist,The Hong Kong Institute Of Bankers,3,False,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-16 06:00:00,77061256,https://hk.jobsdb.com/job/77061256
Business Analyst,SmarTone Telecommunications Limited,,False,"Ngau Tau Kok, Kwun Tong District",Information & Communication Technology,,2024-07-03 06:00:00,76985709,https://hk.jobsdb.com/job/76985709
"SAP System Analyst (Large corporation, 5 days)",Delken Group Limited,8,True,Sha Tin District,Information & Communication Technology,,2024-07-17 06:00:00,77309396,https://hk.jobsdb.com/job/77309396
Electronic Trading – Application Support,Jobsdb - SmartHire,1,False,"Central, Central and Western District",Information & Communication Technology,,2024-07-17 06:00:00,76949317,https://hk.jobsdb.com/job/76949317
"Regional Program Manager (1 Year Contract, up to 120k)",Manpower Services (Hong Kong) Limited,,False,"Kwun Tong, Kwun Tong District",Insurance & Superannuation,,2024-07-17 10:00:00,77336816,https://hk.jobsdb.com/job/77336816
Business Development Manager/Trainee (Welcome Fresh Graduate/IANG),Morpheus Human Resources Company,,True,"Tsim Sha Tsui, Yau Tsim Mong District",Sales,,2024-07-16 06:00:00,77287888,https://hk.jobsdb.com/job/77287888
Financial Analyst,Citistore (Hong Kong) Limited,4,False,Tsuen Wan District,Accounting,,2024-07-17 06:00:00,77309303,https://hk.jobsdb.com/job/77309303
Project Manager / Assistant Project Manager (RPA development),Bank of China (Hong Kong) Limited,3,False,Yau Tsim Mong District,Information & Communication Technology,,2024-07-14 06:00:00,77262264,https://hk.jobsdb.com/job/77262264
Copywriter - Mox (3169),Standard Chartered Bank,5,False,"Quarry Bay, Eastern District","Advertising, Arts & Media",,2024-07-17 14:00:00,77345484,https://hk.jobsdb.com/job/77345484
Business Analyst,Ricacorp Properties Limited,1,False,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-07-03 06:00:00,76976113,https://hk.jobsdb.com/job/76976113
Analyst Programmer / Programmer (Web/ Mobile) at A&A Limited,Jobsdb - SmartHire,3,False,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-17 06:00:00,77007763,https://hk.jobsdb.com/job/77007763
Program Executive: Entrepreneurship Program,CoCoon Born To Fly,5,False,Central and Western District,Education & Training,,2024-07-17 06:00:00,77322793,https://hk.jobsdb.com/job/77322793
