Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
"Manager, Customer Experience Assurance",HKT,1,True,"Cheung Sha Wan, Sham Shui Po District",Information & Communication Technology,,2024-07-06 09:00:00,77060166,https://hk.jobsdb.com/job/77060166
People Systems Analyst (HRIS) (Job Ref: ADV/24/265),ISS Facility Services Limited,3,False,"Quarry Bay, Eastern District",Human Resources & Recruitment,,2024-07-05 09:00:00,77039128,https://hk.jobsdb.com/job/77039128
Assistant Accountant – Treasury Analyst,A. R. Medicom Inc. (Asia) Limited,3,False,"North Point, Eastern District",Accounting,,2024-07-11 09:00:00,76383098,https://hk.jobsdb.com/job/76383098
Career Development Officer in the Student Development Services [Ref. B/842/03],City University of Hong Kong,5,False,Kowloon City District,Education & Training,,2024-07-13 09:00:00,77233980,https://hk.jobsdb.com/job/77233980
Business Analyst - Large Transformation Project - Telco - Attractive Salary,TEKsystems,5,False,"Tai Kok Tsui, Yau Tsim Mong District",Information & Communication Technology,"$30,000 - $45,000 per month",2024-07-03 09:00:00,76988557,https://hk.jobsdb.com/job/76988557
Analyst Programmer -Conglomerate in Transportation Service,Links international,1,True,"Kwai Chung, Kwai Tsing District",Information & Communication Technology,x13M + bonus,2024-07-13 09:00:00,77243785,https://hk.jobsdb.com/job/77243785
Global Human Resources & Administrative Director,David Hall Personnel Consultant,8,False,Kwai Tsing District,Human Resources & Recruitment,"$60,000 - $70,000 per month",2024-07-17 09:00:00,77315540,https://hk.jobsdb.com/job/77315540
Accounts Clerk,Media Asia Group Holdings Limited,1,False,"Cheung Sha Wan, Sham Shui Po District",Accounting,,2024-07-16 09:00:00,77014927,https://hk.jobsdb.com/job/77014927
Market Research Team Lead,K1 Recruitment Limited,,False,Hong Kong,Marketing & Communications,"$45,000 - $65,000 per month",2024-07-09 09:00:00,77120872,https://hk.jobsdb.com/job/77120872
"Senior Manager - Data Management & Analysis, Data Science & Data Management",Orient Overseas Container Line Ltd (OOCL),1,False,Hong Kong,Information & Communication Technology,,2024-06-28 09:00:00,76876336,https://hk.jobsdb.com/job/76876336
"Full-time Research Clinical Associate,  School of Nursing (TWC/24/161/NUR/RCA)",Tung Wah College Limited,,False,"Mong Kok, Yau Tsim Mong District",Administration & Office Support,,2024-07-09 09:00:00,77117848,https://hk.jobsdb.com/job/77117848
Data Centre Supervisor,Frank Recruitment Group Private Ltd.,,False,Central and Western District,Information & Communication Technology,$28k - $35k p.m. + + Bonus,2024-07-11 09:00:00,77177137,https://hk.jobsdb.com/job/77177137
System Analyst - Team Lead (.Net | Web Development | E-Commerce Project | Perm),ADECCO Personnel Limited,8,False,"Wan Chai, Wan Chai District",Information & Communication Technology,"$50,000 - $55,000 per month",2024-07-17 09:00:00,77033572,https://hk.jobsdb.com/job/77033572
Junior Data Engineer in airline (about 26000/month),Leadership Solutions Limited,,False,Hong Kong,Information & Communication Technology,,2024-06-26 09:00:00,76803150,https://hk.jobsdb.com/job/76803150
"Officer, Facilities Management Support (1-year Contract)",China CITIC Bank International Limited,1,False,"Quarry Bay, Eastern District",Administration & Office Support,,2024-07-16 09:00:00,77276221,https://hk.jobsdb.com/job/77276221
"Credit Analyst, Emerging Markets Fixed Income",aimHigher Consultancy Limited,5,False,Hong Kong Island,Banking & Financial Services,,2024-07-11 09:00:00,77177633,https://hk.jobsdb.com/job/77177633
Architect / Senior Specialist (Solution Development),Hong Kong Interbank Clearing Ltd,1,False,"Ngau Tau Kok, Kwun Tong District",Information & Communication Technology,,2024-07-13 09:00:00,77253267,https://hk.jobsdb.com/job/77253267
Assistant HR Manager (Strong in excel & data analysis),Pinnacle And Associates Limited,1,False,Hong Kong Island,Human Resources & Recruitment,,2024-06-27 09:00:00,76848311,https://hk.jobsdb.com/job/76848311
Project Coordinator/ Project Manager,Centre for Intelligent Multidimensional Data Analysis Limited,,False,Sha Tin District,Construction,,2024-07-06 09:00:00,77060142,https://hk.jobsdb.com/job/77060142
